Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
Eucalipto1,758,773,12,61644,11
Eucalipto2,1158,965,18,209885,12
Eucalipto3,1098,742,19,187933,12
Eucalipto4,794,571,16,45177,13
Eucalipto5,264,138,14,27868,4
Eucalipto6,148,274,0,17493,4
Eucalipto7,1078,1183,16,76278,19
Eucalipto8,985,1327,21,82983,12
Eucalipto9,1287,1139,17,122173,13
Eucalipto10,874,784,18,117199,11
