Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
Eucalipto1,758,703,12,61644,11
Eucalipto2,1158,988,18,209885,12
Eucalipto3,1098,1339,19,187933,12
Eucalipto4,794,628,16,45177,13
Eucalipto5,264,73,14,27868,4
Eucalipto6,148,177,0,17493,4
Eucalipto7,1078,1079,16,76278,19
Eucalipto8,985,1161,21,82983,12
Eucalipto9,1287,1016,17,122173,13
Eucalipto10,874,700,18,117199,11
