Img,Altura Vert.,Compr Total,Diâmetro,Área,Nro Folhas
Pinheiro1,1565,1554,17,45335,16
Pinheiro2,1224,1269,17,66700,23
Pinheiro3,1533,1499,12,56422,11
Pinheiro4,1203,1220,5,43608,14
Pinheiro5,1238,1262,12,45032,15
Pinheiro6,1022,1023,19,27044,8
